Plaza,Nombre,Local,fecha_lectura,lectura
plaza kentro,"HSBC MEXICO S,A, DE C,V,",1,29/08/2025,147.39
plaza kentro,"HSBC MEXICO S,A, DE C,V,",2,29/08/2025,2441.01
plaza kentro,GP GASTRONIMICA PREMIUM SA DE CV,3,29/08/2025,238.63
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,29/08/2025,276.56
plaza kentro,COMERCIALIZADORA PERSIANAS GABIN SA DE CV,5,29/08/2025,86.66
plaza kentro,ARRENDADORA SHEL HA SA DE CV,6,29/08/2025,238.1
plaza kentro,SUMINISTROS TACTICOS,7,29/08/2025,2
plaza kentro,MANUEL GERRA BELLEGO,8,29/08/2025,75.86
plaza kentro,SANTANDER MEXICO S.A. DE C.V,11,29/08/2025,674.61
plaza kentro,UNIFORMES MEDICOS,13,29/08/2025,97.94
plaza kentro,DULCE HABITO,14,29/08/2025,241.15
plaza kentro,Z&B CASH CENTRO CAMBIARIO,16,29/08/2025,156.92
plaza kentro,DSP ESPECIALISTAS,17,29/08/2025,7.37
plaza kentro,BBVA BANCOMER S.A.,18,29/08/2025,469.65
plaza kentro,TOMA CERRADA,19,29/08/2025,0.08
plaza kentro,TOMA CERRADA,20,29/08/2025,0.07
plaza kentro,GRUPO ALLEGUE,22,29/08/2025,301.43
plaza kentro,GRUPO ALLEGUE,23,29/08/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,29/08/2025,271.32
plaza kentro,BUFALO WILD WINS,104,29/08/2025,235.76
plaza kentro,LABORATORIO,105,29/08/2025,131.09
plaza kentro,FAJAS COLOMBIANAS,106,29/08/2025,101.1
plaza kentro,MUSICAL FAMA,107,29/08/2025,52.58
plaza kentro,MONZANI,108,29/08/2025,247.84
plaza kentro,INMOBILIARIA JPAZ,109,29/08/2025,31.41
plaza kentro,GRUPO PEDIATRICO DE PUEBLA SC,110,29/08/2025,48.42
plaza kentro,IDEAS EKA,111,29/08/2025,36.49
plaza kentro,LUIS MANUEL ORTIZ,112,29/08/2025,325.01
plaza kentro,,113,29/08/2025,7.67
plaza kentro,COSMETICOS,114,29/08/2025,48.94
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,29/08/2025,41.47
plaza kentro,ELECTRONICA,116,29/08/2025,29.68
plaza kentro,EMI LEE,117,29/08/2025,493.82
plaza kentro,ESTETICA VIA 33,118,29/08/2025,1832.83
plaza kentro,ESTETICA VIA 33,119,29/08/2025,18.78
plaza kentro,JERICO AVALOS GRANIEL,120,29/08/2025,12.37
plaza kentro,GRACIELA MARQUEZ SANTAMARIA,122,29/08/2025,93.11
plaza kentro,OFICINA DE VENTAS,123,29/08/2025,102.34
plaza kentro,,125,29/08/2025,0.27
plaza kentro,LUIS JORGE GALAN,129,29/08/2025,33.8
plaza kentro,SPA INFANTIL,209,29/08/2025,197.53
plaza kentro,BARBERIA,210,29/08/2025,18.8
plaza kentro,ALBERTO ESCOBAR,211,29/08/2025,762.65
plaza kentro,FELIPE PALACIOS,212,29/08/2025,2.8
plaza kentro,,213,29/08/2025,3.62
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,29/08/2025,103.04
plaza kentro,SUNPOWER CAPITAL SAP SA DE CV,215,29/08/2025,18.52
plaza kentro,DENTISTA,216,29/08/2025,9.9
plaza kentro,KARIME CALDERAS,217,29/08/2025,59.11
plaza kentro,JOSE LUIS OCTAVIO BELLO,218,29/08/2025,8.48
plaza kentro,GRETHA DANIELLA NIETO GARCIA,219,29/08/2025,63.46
plaza kentro,ESFERA MAGICA,220,29/08/2025,0
plaza kentro,ESFERA MAGICA,221,29/08/2025,17.7
plaza kentro,MARIA JOSE PICAZO CALATALLUD,222,29/08/2025,15.25
plaza kentro,,224,29/08/2025,100.05
plaza kentro,,227,29/08/2025,6.26
plaza kentro,LUIS RENE SALAZAR MORENO,230,29/08/2025,12.6
plaza kentro,MERINO JIMENEZ COMPAÑÍA CAFETALERA SA DE CV,302,29/08/2025,58.6
plaza kentro,MARIA EUGENIA HERNANDEZ DOMINGUEZ,303,29/08/2025,116.92
plaza kentro,JOSE ERNESTO MAZANTLE CRUZ,304,29/08/2025,15.54
plaza kentro,JAIME ACCO GIMNASIO,308,29/08/2025,0
plaza kentro,JAIME ACCO GIMNASIO,309,29/08/2025,2353.01
plaza kentro,ARQUITECTOS,310,29/08/2025,278.6
plaza kentro,EDGAR SOSA,311,29/08/2025,183.88
plaza kentro,CINTHIA BERNI MELO,312,29/08/2025,104.87
plaza kentro,GALINDO,314,29/08/2025,94.98
plaza kentro,GALINDO,313,29/08/2025,2.79
plaza kentro,EUGENIO GALINDO,315,29/08/2025,131.72
plaza kentro,MARIA GUADALUPE CAMPOS,316,29/08/2025,104.98
plaza kentro,MARIA INES WILLIAMS,318,29/08/2025,33.52
plaza kentro,,319,29/08/2025,93.3
plaza kentro,BEATRIZ ALEJANDRA REMES,320,29/08/2025,8.59
plaza kentro,GIRONA ANDROLIGIC,321,29/08/2025,49.83
plaza kentro,SPA UÑAS,322,29/08/2025,255.12
plaza kentro,OPERADORA REDUCE NUTRICION DAY SPA SCHIEDECK SA CV,323,29/08/2025,821.32
plaza kentro,ARMANDO UROIEL GARCIA,324,29/08/2025,26.01
plaza kentro,ALBERTO RODRIGUEZ,325,29/08/2025,536.08
plaza kentro,JUAN MANUEL BAEZ,327,29/08/2025,
plaza kentro,RISE UP STUDIO SA DE CV,326,29/08/2025,275.19
plaza kentro,BAÑOS,401,29/08/2025,816.51
plaza kentro,"HSBC MEXICO S,A, DE C,V,",1,29/09/2025,149.9
plaza kentro,"HSBC MEXICO S,A, DE C,V,",2,29/09/2025,2535.67
plaza kentro,GP GASTRONIMICA PREMIUM SA DE CV,3,29/09/2025,241.04
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,29/09/2025,280.07
plaza kentro,COMERCIALIZADORA PERSIANAS GABIN SA DE CV,5,29/09/2025,88.08
plaza kentro,ARRENDADORA SHEL HA SA DE CV,6,29/09/2025,238.83
plaza kentro,SUMINISTROS TACTICOS,7,29/09/2025,2.14
plaza kentro,MANUEL GERRA BELLEGO,8,29/09/2025,76.21
plaza kentro,SANTANDER MEXICO S.A. DE C.V,11,29/09/2025,707.32
plaza kentro,UNIFORMES MEDICOS,13,29/09/2025,100.46
plaza kentro,DULCE HABITO,14,29/09/2025,247.2
plaza kentro,Z&B CASH CENTRO CAMBIARIO,16,29/09/2025,162.19
plaza kentro,DSP ESPECIALISTAS,17,29/09/2025,14.74
plaza kentro,BBVA BANCOMER S.A.,18,29/09/2025,476.18
plaza kentro,TOMA CERRADA,19,29/09/2025,0
plaza kentro,TOMA CERRADA,20,29/09/2025,0
plaza kentro,GRUPO ALLEGUE,22,29/09/2025,441.42
plaza kentro,GRUPO ALLEGUE,23,29/09/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,29/09/2025,397.36
plaza kentro,BUFALO WILD WINS,104,29/09/2025,477.39
plaza kentro,LABORATORIO,105,29/09/2025,131.86
plaza kentro,FAJAS COLOMBIANAS,106,29/09/2025,101.82
plaza kentro,MUSICAL FAMA,107,29/09/2025,55.6
plaza kentro,MONZANI,108,29/09/2025,250.54
plaza kentro,INMOBILIARIA JPAZ,109,29/09/2025,33.93
plaza kentro,GRUPO PEDIATRICO DE PUEBLA SC,110,29/09/2025,48.65
plaza kentro,IDEAS EKA,111,29/09/2025,38.15
plaza kentro,LUIS MANUEL ORTIZ,112,29/09/2025,336.8
plaza kentro,,113,29/09/2025,8.42
plaza kentro,COSMETICOS,114,29/09/2025,49.17
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,29/09/2025,43.9
plaza kentro,ELECTRONICA,116,29/09/2025,31.25
plaza kentro,EMI LEE,117,29/09/2025,498.99
plaza kentro,ESTETICA VIA 33,118,29/09/2025,1873.36
plaza kentro,ESTETICA VIA 33,119,29/09/2025,69.28
plaza kentro,JERICO AVALOS GRANIEL,120,29/09/2025,12.85
plaza kentro,GRACIELA MARQUEZ SANTAMARIA,122,29/09/2025,93.38
plaza kentro,OFICINA DE VENTAS,123,29/09/2025,105.54
plaza kentro,,125,29/09/2025,2.98
plaza kentro,LUIS JORGE GALAN,129,29/09/2025,51.48
plaza kentro,SPA INFANTIL,209,29/09/2025,213.35
plaza kentro,BARBERIA,210,29/09/2025,30.04
plaza kentro,ALBERTO ESCOBAR,211,29/09/2025,766.52
plaza kentro,FELIPE PALACIOS,212,29/09/2025,4.81
plaza kentro,,213,29/09/2025,4.57
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,29/09/2025,103.87
plaza kentro,SUNPOWER CAPITAL SAP SA DE CV,215,29/09/2025,19.91
plaza kentro,DENTISTA,216,29/09/2025,10.88
plaza kentro,KARIME CALDERAS,217,29/09/2025,63.24
plaza kentro,JOSE LUIS OCTAVIO BELLO,218,29/09/2025,8.86
plaza kentro,GRETHA DANIELLA NIETO GARCIA,219,29/09/2025,65.47
plaza kentro,ESFERA MAGICA,220,29/09/2025,0.04
plaza kentro,ESFERA MAGICA,221,29/09/2025,35.55
plaza kentro,MARIA JOSE PICAZO CALATALLUD,222,29/09/2025,19.23
plaza kentro,,224,29/09/2025,108.68
plaza kentro,,227,29/09/2025,7.52
plaza kentro,LUIS RENE SALAZAR MORENO,230,29/09/2025,20.24
plaza kentro,MERINO JIMENEZ COMPAÑÍA CAFETALERA SA DE CV,302,29/09/2025,93.46
plaza kentro,MARIA EUGENIA HERNANDEZ DOMINGUEZ,303,29/09/2025,119.42
plaza kentro,JOSE ERNESTO MAZANTLE CRUZ,304,29/09/2025,16.43
plaza kentro,JAIME ACCO GIMNASIO,308,29/09/2025,0
plaza kentro,JAIME ACCO GIMNASIO,309,29/09/2025,2410.99
plaza kentro,ARQUITECTOS,310,29/09/2025,279.18
plaza kentro,EDGAR SOSA,311,29/09/2025,195.19
plaza kentro,CINTHIA BERNI MELO,312,29/09/2025,106.48
plaza kentro,GALINDO,314,29/09/2025,96.67
plaza kentro,GALINDO,313,29/09/2025,4.28
plaza kentro,EUGENIO GALINDO,315,29/09/2025,135.63
plaza kentro,MARIA GUADALUPE CAMPOS,316,29/09/2025,105.54
plaza kentro,MARIA INES WILLIAMS,318,29/09/2025,34.37
plaza kentro,,319,29/09/2025,101.02
plaza kentro,BEATRIZ ALEJANDRA REMES,320,29/09/2025,12.92
plaza kentro,GIRONA ANDROLIGIC,321,29/09/2025,50.14
plaza kentro,SPA UÑAS,322,29/09/2025,259.13
plaza kentro,OPERADORA REDUCE NUTRICION DAY SPA SCHIEDECK SA CV,323,29/09/2025,829.45
plaza kentro,ARMANDO UROIEL GARCIA,324,29/09/2025,26.68
plaza kentro,ALBERTO RODRIGUEZ,325,29/09/2025,540.37
plaza kentro,JUAN MANUEL BAEZ,327,29/09/2025,1.19
plaza kentro,RISE UP STUDIO SA DE CV,326,29/09/2025,279.39
plaza kentro,BAÑOS,401,29/09/2025,856.31
plaza kentro,"HSBC MEXICO S,A, DE C,V,",1,01/11/2025,152.54
plaza kentro,"HSBC MEXICO S,A, DE C,V,",2,01/11/2025,2558.33
plaza kentro,GP GASTRONIMICA PREMIUM SA DE CV,3,01/11/2025,243.27
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,01/11/2025,283.51
plaza kentro,COMERCIALIZADORA PERSIANAS GABIN SA DE CV,5,01/11/2025,89.42
plaza kentro,ARRENDADORA SHEL HA SA DE CV,6,01/11/2025,239.75
plaza kentro,SUMINISTROS TACTICOS,7,01/11/2025,2.19
plaza kentro,MANUEL GERRA BELLEGO,8,01/11/2025,77.38
plaza kentro,SANTANDER MEXICO S.A. DE C.V,11,01/11/2025,720.42
plaza kentro,UNIFORMES MEDICOS,13,01/11/2025,103.17
plaza kentro,DULCE HABITO,14,01/11/2025,254.86
plaza kentro,Z&B CASH CENTRO CAMBIARIO,16,01/11/2025,162.97
plaza kentro,DSP ESPECIALISTAS,17,01/11/2025,21.31
plaza kentro,BBVA BANCOMER S.A.,18,01/11/2025,485.83
plaza kentro,TOMA CERRADA,19,01/11/2025,0.08
plaza kentro,TOMA CERRADA,20,01/11/2025,0.07
plaza kentro,GRUPO ALLEGUE,22,01/11/2025,569.03
plaza kentro,GRUPO ALLEGUE,23,01/11/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,01/11/2025,511.83
plaza kentro,BUFALO WILD WINS,104,01/11/2025,635.09
plaza kentro,LABORATORIO,105,01/11/2025,134.38
plaza kentro,FAJAS COLOMBIANAS,106,01/11/2025,102.83
plaza kentro,MUSICAL FAMA,107,01/11/2025,58.33
plaza kentro,MONZANI,108,01/11/2025,253.78
plaza kentro,INMOBILIARIA JPAZ,109,01/11/2025,35.71
plaza kentro,GRUPO PEDIATRICO DE PUEBLA SC,110,01/11/2025,49.44
plaza kentro,IDEAS EKA,111,01/11/2025,39.95
plaza kentro,LUIS MANUEL ORTIZ,112,01/11/2025,348.2
plaza kentro,,113,01/11/2025,9.07
plaza kentro,COSMETICOS,114,01/11/2025,49.27
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,01/11/2025,49.52
plaza kentro,ELECTRONICA,116,01/11/2025,32.99
plaza kentro,EMI LEE,117,01/11/2025,501.94
plaza kentro,ESTETICA VIA 33,118,01/11/2025,1920.24
plaza kentro,ESTETICA VIA 33,119,01/11/2025,123.51
plaza kentro,JERICO AVALOS GRANIEL,120,01/11/2025,17.26
plaza kentro,GRACIELA MARQUEZ SANTAMARIA,122,01/11/2025,93.8
plaza kentro,OFICINA DE VENTAS,123,01/11/2025,109.09
plaza kentro,,125,01/11/2025,4.58
plaza kentro,LUIS JORGE GALAN,129,01/11/2025,67.79
plaza kentro,SPA INFANTIL,209,01/11/2025,236.12
plaza kentro,BARBERIA,210,01/11/2025,41.28
plaza kentro,ALBERTO ESCOBAR,211,01/11/2025,769.64
plaza kentro,FELIPE PALACIOS,212,01/11/2025,6.39
plaza kentro,,213,01/11/2025,5.36
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,01/11/2025,106.65
plaza kentro,SUNPOWER CAPITAL SAP SA DE CV,215,01/11/2025,21.36
plaza kentro,DENTISTA,216,01/11/2025,20.6
plaza kentro,KARIME CALDERAS,217,01/11/2025,67.24
plaza kentro,JOSE LUIS OCTAVIO BELLO,218,01/11/2025,9.34
plaza kentro,GRETHA DANIELLA NIETO GARCIA,219,01/11/2025,67.2
plaza kentro,ESFERA MAGICA,220,01/11/2025,0.04
plaza kentro,ESFERA MAGICA,221,01/11/2025,56.13
plaza kentro,MARIA JOSE PICAZO CALATALLUD,222,01/11/2025,22.55
plaza kentro,,224,01/11/2025,116.23
plaza kentro,,227,01/11/2025,8.09
plaza kentro,LUIS RENE SALAZAR MORENO,230,01/11/2025,27.83
plaza kentro,MERINO JIMENEZ COMPAÑÍA CAFETALERA SA DE CV,302,01/11/2025,127.22
plaza kentro,MARIA EUGENIA HERNANDEZ DOMINGUEZ,303,01/11/2025,121.89
plaza kentro,JOSE ERNESTO MAZANTLE CRUZ,304,01/11/2025,17.74
plaza kentro,JAIME ACCO GIMNASIO,308,01/11/2025,0
plaza kentro,JAIME ACCO GIMNASIO,309,01/11/2025,2478
plaza kentro,ARQUITECTOS,310,01/11/2025,279.86
plaza kentro,EDGAR SOSA,311,01/11/2025,205.26
plaza kentro,CINTHIA BERNI MELO,312,01/11/2025,132.1
plaza kentro,GALINDO,314,01/11/2025,99.12
plaza kentro,GALINDO,313,01/11/2025,5.61
plaza kentro,EUGENIO GALINDO,315,01/11/2025,140.42
plaza kentro,MARIA GUADALUPE CAMPOS,316,01/11/2025,106.28
plaza kentro,MARIA INES WILLIAMS,318,01/11/2025,35.39
plaza kentro,,319,01/11/2025,107.52
plaza kentro,BEATRIZ ALEJANDRA REMES,320,01/11/2025,17.69
plaza kentro,GIRONA ANDROLIGIC,321,01/11/2025,54.45
plaza kentro,SPA UÑAS,322,01/11/2025,273.83
plaza kentro,OPERADORA REDUCE NUTRICION DAY SPA SCHIEDECK SA CV,323,01/11/2025,837.62
plaza kentro,ARMANDO UROIEL GARCIA,324,01/11/2025,27.08
plaza kentro,ALBERTO RODRIGUEZ,325,01/11/2025,544.44
plaza kentro,JUAN MANUEL BAEZ,327,01/11/2025,1.67
plaza kentro,RISE UP STUDIO SA DE CV,326,01/11/2025,283.24
plaza kentro,BAÑOS,401,01/11/2025,895.67
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,30/11/2025,286.66
plaza kentro,UNIFORMES MEDICOS,13,30/11/2025,105.32
plaza kentro,GRUPO ALLEGUE,22,30/11/2025,704.03
plaza kentro,GRUPO ALLEGUE,23,30/11/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,30/11/2025,636.83
plaza kentro,BUFALO WILD WINS,104,30/11/2025,835.09
plaza kentro,MONZANI,108,30/11/2025,256.78
plaza kentro,LUIS MANUEL ORTIZ,112,30/11/2025,359.75
plaza kentro,COSMETICOS,114,30/11/2025,49.52
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,30/11/2025,49.52
plaza kentro,EMI LEE,117,30/11/2025,506.94
plaza kentro,ESTETICA VIA 33,118,30/11/2025,1968.14
plaza kentro,ESTETICA VIA 33,119,30/11/2025,176.71
plaza kentro,LUIS JORGE GALAN,129,30/11/2025,84.59
plaza kentro,SPA INFANTIL,209,30/11/2025,256.92
plaza kentro,BARBERIA,210,30/11/2025,52.28
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,30/11/2025,108.65
plaza kentro,DENTISTA,216,30/11/2025,25.4
plaza kentro,MERINO JIMENEZ COMPAÑÍA CAFETALERA SA DE CV,302,30/11/2025,160.22
plaza kentro,MARIA EUGENIA HERNANDEZ DOMINGUEZ,303,30/11/2025,124.29
plaza kentro,BEATRIZ ALEJANDRA REMES,320,30/11/2025,21.89
plaza kentro,SPA UÑAS,322,30/11/2025,287.63
plaza kentro,OPERADORA REDUCE NUTRICION DAY SPA SCHIEDECK SA CV,323,30/11/2025,845.62
plaza kentro,ALBERTO RODRIGUEZ,325,30/11/2025,548.64
plaza kentro,RISE UP STUDIO SA DE CV,326,30/11/2025,287.14
plaza kentro,BAÑOS,401,30/11/2025,934.67
