Minimo,Maximo,Contaminantes BÃ¡sicos
0.0,0.10,0.00
0.10,0.20,6.56
0.20,0.30,7.78
0.30,0.40,8.82
0.40,0.50,9.36
0.50,0.60,10.06
0.60,0.70,10.45
0.70,0.80,11.00
0.80,0.90,11.17
0.90,1.00,11.64
1.00,1.10,11.84
1.10,1.20,12.30
1.20,1.30,12.52
1.30,1.40,12.63
1.40,1.50,13.15
1.50,1.60,13.26
1.60,1.70,13.40
1.70,1.80,13.69
1.80,1.90,13.87
1.90,2.00,13.94
2.00,2.10,14.28
2.10,2.20,14.47
2.20,2.30,14.64
2.30,2.40,14.74
2.40,2.50,14.94
2.50,2.60,15.06
2.60,2.70,15.24
2.70,2.80,15.38
2.80,2.90,15.60
2.90,3.00,15.74
3.00,3.10,15.88
3.10,3.20,16.00
3.20,3.30,16.07
3.30,3.40,16.18
3.40,3.50,16.30
3.50,3.60,16.50
3.60,3.70,16.58
3.70,3.80,16.60
3.80,3.90,16.80
3.90,4.00,16.85
4.00,4.10,16.91
4.10,4.20,17.04
4.20,4.30,17.24
4.30,4.40,17.29
4.40,4.50,17.41
4.50,4.60,17.61
4.60,4.70,17.64
4.70,4.80,17.65
4.80,4.90,17.75
4.90,5.00,17.86
5.00,,17.88
